date,open,high,low,close,volume,change_rate,turnover,MA5,MA10,MA20,MA30,MA60,MA100,MA200,RSI14,DIF,DEA,VOL_MA5,VOL_MA10,RSI6,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,MA120,MA250,updown_ratio_20,up_days_ratio_20,turnover_ma20,vol_ratio,ma_bull,dif_above_zero,bias60,macd_gold,macd_gold3,dif_below0,kdj_gold,kdj_gold3,boll_pos,boll_width,rsi6,is_yang,above_ma5,break_high5,break_high10,break_close40
2024-08-14,7.94,8.0,7.71,7.71,128406.0,-2.405063291139242,0.7186100753455213,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-15,7.68,7.83,7.62,7.71,135876.0,0.0,0.7604151098675145,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-16,7.71,7.73,7.5,7.51,158230.0,-2.5940337224383936,0.8855168155843329,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-19,7.48,7.55,7.28,7.3,169400.13,-2.79627163781625,0.9480292212423183,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-20,7.36,7.39,7.03,7.16,175062.0,-1.9178082191780743,0.9797152548178253,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-21,7.11,7.2,7.05,7.17,104755.0,0.13966480446927498,0.586249851586531,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-22,7.29,7.33,7.02,7.05,148296.9,-1.673640167364021,0.8299273124504092,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-23,6.98,7.07,6.81,6.86,169601.4,-2.6950354609929006,0.9491556066905434,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-26,6.86,7.06,6.86,6.9,164246.17,0.5830903790087438,0.9191856501947987,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-27,6.84,6.85,6.53,6.58,286089.0,-4.637681159420293,1.6010656655103723,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-28,6.56,6.78,6.36,6.71,303206.9,1.9756838905774954,1.6968641126916342,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-29,6.66,7.15,6.62,6.97,370535.15,3.874813710879277,2.0736592687231443,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-30,6.88,7.27,6.78,7.15,303287.9,2.582496413199431,1.6973174202948846,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-02,7.15,7.17,6.85,6.87,198137.38,-3.9160839160839234,1.1088540844708519,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-03,6.87,7.1,6.86,7.06,161387.93,2.7656477438136706,0.9031898239736285,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-04,7.0,7.12,6.98,7.0,141148.78,-0.8498583569405027,0.7899236439942715,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-05,7.0,7.15,6.99,7.03,119750.07,0.4285714285714226,0.6701681138368258,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-06,7.02,7.04,6.85,6.86,113306.67,-2.4182076813655695,0.634108333456771,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-09,6.79,6.88,6.78,6.81,85416.67,-0.7288629737609464,0.4780250117943362,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-10,6.81,6.87,6.68,6.79,82180.76,-0.2936857562408135,0.4599155969000842,,,,,,,,,,,,,,,,,,,,,,0.9,0.35,0.9844947986713299,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-11,6.74,6.88,6.71,6.84,93183.35,0.7363770250368162,0.5214903833500623,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.4,0.9746388140715571,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-12,6.8,7.05,6.8,6.86,135821.66,0.29239766081872176,0.7601110020260252,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.45,0.9746236086794825,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-13,7.0,7.43,6.82,6.84,432097.44,-0.291545189504383,2.41818586292702,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.45,1.051257061046617,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-18,6.8,6.92,6.73,6.87,187629.24,0.43859649122808264,1.0500464331372594,,,,,,,,,,,,,,,,,,,,,,1.375,0.5,1.0563579216413639,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-19,6.95,7.01,6.81,6.88,192499.73,0.14556040756914523,1.0773035954651071,,,,,,,,,,,,,,,,,,,,,,1.375,0.55,1.061237338673728,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-20,6.85,6.91,6.63,6.74,199032.5,-2.034883720930225,1.1138635252340818,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.5,1.0876180223561058,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-23,6.68,6.77,6.64,6.68,91577.5,-0.8902077151335397,0.5125034202058665,,,,,,,,,,,,,,,,,,,,,,1.25,0.5,1.0717468277438784,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-24,6.7,7.05,6.69,7.05,341204.38,5.53892215568863,1.9095128360047189,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,0.55,1.1197646892095872,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-25,7.13,7.34,7.05,7.06,295630.12,0.14184397163119478,1.654461495627973,,,,,,,,,,,,,,,,,,,,,,1.25,0.55,1.156528481481246,,0,0,,0,0,0,0,0,,,,False,False,True,False,False
2024-09-26,7.05,7.36,7.0,7.36,245030.0,4.249291784702569,1.3712834817836637,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,0.6,1.1450393722949106,,0,0,,0,0,0,0,0,,,,True,False,True,False,False
2024-09-27,7.47,8.09,7.47,7.87,425537.25,6.929347826086962,2.3814724801397595,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,0.6,1.1792697906673166,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-09-30,8.19,8.65,8.13,8.65,539202.88,9.911054637865323,3.0175896938096516,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,0.6,1.2264663119216421,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-10-08,9.52,9.52,8.78,9.09,717844.83,5.086705202312136,4.01733974559361,,,,,,,,,,,,,,,,,,,,,,1.25,0.6,1.3424674281865783,,0,0,,0,0,0,0,0,,,,False,False,True,True,False
2024-10-09,8.97,8.97,8.47,8.56,558973.99,-5.830583058305827,3.1282365393368434,,,,,,,,,,,,,,,,,,,,,,1.25,0.6,1.4434365509298779,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-10,8.54,8.95,8.53,8.69,453571.78,1.5186915887850372,2.5383646480725375,,,,,,,,,,,,,,,,,,,,,,1.25,0.6,1.5251952921348235,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-11,8.56,8.56,8.1,8.22,271863.19,-5.408515535097802,1.5214524823573181,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.6,1.5617717340529755,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-14,8.27,8.4,8.06,8.34,226253.84,1.4598540145985384,1.2662047646497325,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.6,1.591573566593621,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-15,8.25,8.31,8.0,8.01,249055.87,-3.9568345323740983,1.3938138210515427,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112,0.6,1.6295588409733597,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-16,7.93,8.04,7.7,7.86,326387.75,-1.872659176029956,1.8265931936152144,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,1.6969872500644037,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-17,7.9,8.01,7.69,7.71,194032.76,-1.9083969465648942,1.0858830294775905,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,1.728285621693279,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-18,7.68,8.07,7.66,7.9,302037.33,2.4643320363164856,1.690318742648008,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,1.7867270396581763,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-21,7.95,8.13,7.88,7.92,348810.96,0.25316455696202667,1.9520822254952546,,,,,,,,,,,,,,,,,,,,,,0.7272727272727273,0.6,1.8463256008316375,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-22,7.92,8.7,7.85,8.7,456112.35,9.84848484848484,2.5525826690304414,,,,,,,,,,,,,,,,,,,,,,0.9,0.65,1.8530454411368087,,0,0,,0,0,0,0,0,,,,True,False,True,False,False
2024-10-23,9.02,9.57,8.98,9.57,1480471.46,10.000000000000009,8.285295916214928,,,,,,,,,,,,,,,,,,,,,,0.9,0.65,2.214807915290692,,0,0,,0,0,0,0,0,,,,True,False,True,True,True
