date,open,high,low,close,volume,change_rate,turnover,MA5,MA10,MA20,MA30,MA60,MA100,MA200,RSI14,DIF,DEA,VOL_MA5,VOL_MA10,RSI6,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,MA120,MA250,updown_ratio_20,up_days_ratio_20,turnover_ma20,vol_ratio,ma_bull,dif_above_zero,bias60,macd_gold,macd_gold3,dif_below0,kdj_gold,kdj_gold3,boll_pos,boll_width,rsi6,is_yang,above_ma5,break_high5,break_high10,break_close40
2024-08-14,17.22,17.66,17.13,17.57,132408.72,2.0325203252032686,0.27162953787254657,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-15,17.53,17.86,17.45,17.7,133216.95,0.7398975526465401,0.27328757928699965,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-16,17.7,17.7,17.05,17.28,248424.29,-2.372881355932188,0.5096293891294734,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-19,17.22,17.47,17.15,17.2,146849.28,-0.4629629629629761,0.3012535886104495,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-20,17.19,17.24,16.9,17.04,121501.69,-0.9302325581395321,0.24925433842599953,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-21,17.04,17.15,16.91,17.06,111086.86,0.11737089201877549,0.2278888614398831,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-22,17.09,17.44,17.03,17.44,140098.49,2.227432590855827,0.2874046973291607,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-23,17.4,17.4,16.9,16.95,125040.74,-2.809633027522951,0.25651451370756584,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-26,16.99,17.05,16.75,16.97,118554.67,0.11799410029498247,0.24320868160897757,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-27,16.94,16.94,16.68,16.78,88798.85,-1.119622863877412,0.1821661790032679,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-28,16.76,17.09,16.76,16.89,89431.0,0.6555423122765136,0.18346300154158812,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-29,16.86,16.92,16.45,16.52,158057.92,-2.1906453522794633,0.3242475251380418,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-30,16.5,16.61,16.08,16.26,267938.8,-1.5738498789346078,0.5496623819195947,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-02,16.45,16.92,16.4,16.75,239209.0,3.0135301353013455,0.490724705479775,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-03,16.73,17.11,16.36,16.42,176251.64,-1.9701492537313348,0.3615709865821408,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-04,16.38,16.83,16.3,16.63,125337.81,1.2789281364189886,0.25712393721695254,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-05,16.61,16.68,16.37,16.54,89470.08,-0.541190619362597,0.18354317210996202,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-06,16.59,16.97,16.58,16.65,117284.68,0.6650544135429204,0.24060336379605135,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-09,16.59,16.93,16.59,16.77,212567.94,0.7207207207207356,0.4360719694950544,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-10,16.78,17.22,16.78,17.12,208762.95,2.0870602265951277,0.4282662322648353,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.31287573209791597,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-09-11,17.08,17.16,16.31,16.4,238344.91,-4.205607476635532,0.48895207020786624,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.323741858714682,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-12,16.43,16.44,16.1,16.13,186824.4,-1.6463414634146356,0.38326044867223086,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.45,0.3292405021839436,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-13,16.18,16.42,16.08,16.26,134113.11,0.8059516429014479,0.27512600448029406,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.31751533295148454,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-18,16.25,16.74,16.16,16.58,174257.48,1.9680196801967753,0.35748007203177046,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.3203266571225506,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-19,16.58,16.62,16.14,16.48,198978.29,-0.603136308805774,0.40819351595098535,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.3282736159987999,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-20,16.43,16.56,16.04,16.26,226947.66,-1.3349514563106735,0.4655712101669423,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.3401577334351529,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-23,16.23,16.8,16.22,16.75,198852.55,3.0135301353013455,0.4079355669420976,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.3461842769157997,,0,0,,0,0,0,0,0,,,,True,False,True,False,False
2024-09-24,16.76,17.3,16.51,17.23,215766.84,2.8656716417910566,0.4426343449088526,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.355490268475864,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-09-25,17.34,17.52,17.16,17.25,213095.8,0.11607661056296514,0.4371548465734025,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.3651875767240853,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-26,17.29,17.37,16.5,16.68,475351.54,-3.304347826086962,0.975158729252902,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.404837204236567,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-27,16.78,17.13,16.48,16.86,311339.14,1.0791366906474753,0.6386959009938022,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.4275988492091777,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-30,16.92,18.06,16.86,17.82,679305.19,5.693950177935947,1.3935589350468944,,,,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.6,0.48106441970462044,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-10-08,19.1,19.35,16.81,17.32,1090467.69,-2.805836139169471,2.237037218543034,,,,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.6,0.5654331615357923,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-09,17.05,17.2,16.51,16.66,627233.92,-3.8106235565819824,1.2867374582851179,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.6052337991760595,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-10,16.97,17.55,16.97,17.02,706022.55,2.1608643457383003,1.4483681964760091,,,,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.6,0.6595736596707529,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-11,17.04,17.47,16.84,17.16,331836.07,0.8225616921269108,0.6807442768387308,,,,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.6,0.6807546766518418,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-14,17.17,17.34,16.75,17.13,417650.71,-0.17482517482517723,0.8567885056923815,,,,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.6,0.7144169433309627,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-15,17.18,17.2,16.6,16.6,403642.7,-3.093987157034428,0.8280518085714215,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.7437893655697312,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-16,16.65,17.18,16.58,17.03,455406.71,2.590361445783129,0.9342429575737672,,,,,,,,,,,,,,,,,,,,,,1.0,0.55,0.7686979149736668,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-17,17.1,17.18,16.7,16.71,332107.46,-1.8790369935408169,0.6813010191762691,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.7813496543192386,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-18,16.68,16.81,16.36,16.61,343803.73,-0.5984440454817608,0.7052953030492083,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.7921668159613057,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-21,16.61,16.64,16.22,16.31,427654.64,-1.8061408789885602,0.8773110428999711,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.5,0.8168693456726928,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-22,16.26,16.35,16.2,16.31,336301.89,0.0,0.6899056721216246,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.45,0.8376083290547592,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-23,16.26,16.4,16.17,16.19,359295.32,-0.7357449417535133,0.7370754866550234,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.4,0.8565880997859219,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-10-24,16.16,16.27,15.95,16.25,316331.53,0.3705991352686677,0.6489375269877663,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.45,0.868625300337761,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-10-25,16.19,16.24,15.85,15.96,425341.12,-1.7846153846153845,0.8725649780753969,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.45,0.8889749887331837,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
