date,open,high,low,close,volume,change_rate,turnover,MA5,MA10,MA20,MA30,MA60,MA100,MA200,RSI14,DIF,DEA,VOL_MA5,VOL_MA10,RSI6,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,MA120,MA250,updown_ratio_20,up_days_ratio_20,turnover_ma20,vol_ratio,ma_bull,dif_above_zero,bias60,macd_gold,macd_gold3,dif_below0,kdj_gold,kdj_gold3,boll_pos,boll_width,rsi6,is_yang,above_ma5,break_high5,break_high10,break_close40
2024-08-14,9.97,10.12,9.92,10.0,29454.65,0.30090270812437314,1.0270935969523436,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-15,10.0,10.32,9.86,10.16,52897.0,1.6000000000000014,1.8445362616085446,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-16,10.16,10.24,9.96,10.0,31890.95,-1.5748031496062964,1.1120482010727455,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-19,9.85,9.99,9.77,9.82,52270.0,-1.8000000000000016,1.822672559772362,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-20,9.76,10.09,9.6,9.92,86275.72,1.0183299389002087,3.0084635052344284,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-21,9.81,10.09,9.59,9.62,66158.52,-3.0241935483870996,2.306969944502602,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-22,9.56,9.83,9.37,9.39,45644.24,-2.3908523908523716,1.591630070014617,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-23,9.4,9.42,9.15,9.26,37934.7,-1.3844515441959637,1.3227958054944828,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-26,9.31,9.42,9.21,9.34,23839.69,0.8639308855291628,0.8312980447002023,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-27,9.4,9.4,9.09,9.1,27559.0,-2.569593147751603,0.9609916409941941,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
