date,open,high,low,close,volume,change_rate,turnover,MA5,MA10,MA20,MA30,MA60,MA100,MA200,RSI14,DIF,DEA,VOL_MA5,VOL_MA10,RSI6,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,MA120,MA250,updown_ratio_20,up_days_ratio_20,turnover_ma20,vol_ratio,ma_bull,dif_above_zero,bias60,macd_gold,macd_gold3,dif_below0,kdj_gold,kdj_gold3,boll_pos,boll_width,rsi6,is_yang,above_ma5,break_high5,break_high10,break_close40
2024-08-14,13.82,13.87,13.64,13.69,11891.8,-0.940665701881338,0.14185021450189883,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-15,13.7,13.97,13.67,13.87,14533.4,1.3148283418553675,0.17336029090986196,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-16,13.87,13.92,13.74,13.76,9944.85,-0.7930785868781487,0.11862620508999551,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-19,13.77,14.02,13.77,13.96,17500.6,1.4534883720930258,0.20875425620275573,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-20,13.93,14.0,13.8,13.93,15943.4,-0.21489971346705383,0.19017934289927294,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-21,13.83,14.06,13.6,13.76,27852.74,-1.2203876525484603,0.33223878163655773,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-22,13.69,13.89,13.59,13.77,16910.92,0.07267441860465684,0.20172031394948206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-23,13.77,14.06,13.69,14.06,28192.2,2.106027596223692,0.3362879982240226,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-26,14.03,14.39,13.95,14.25,30846.55,1.3513513513513375,0.36795016180423046,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,True,False,False
2024-08-27,14.28,14.4,14.11,14.32,25317.25,0.49122807017543124,0.30199442835384027,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-28,14.32,14.65,14.26,14.43,23715.94,0.7681564245810124,0.2828933530764193,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-08-29,14.32,14.54,14.28,14.38,23189.01,-0.34650034650034467,0.27660791827870274,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-30,14.75,15.32,14.5,15.12,62822.77,5.146036161335177,0.7493754856374523,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,True,True,False
2024-09-02,15.12,15.12,14.87,14.88,25663.74,-1.5873015873015817,0.3061275016331389,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-09-03,14.87,15.16,14.86,15.06,23130.04,1.2096774193548265,0.27590450019656404,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-04,14.96,15.25,14.93,15.07,17490.05,0.06640106241699861,0.20862841152297684,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-09-05,15.03,15.21,14.99,15.1,11519.0,0.1990710019907027,0.13740330486952124,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
