date,open,high,low,close,volume,change_rate,turnover,MA5,MA10,MA20,MA30,MA60,MA100,MA200,RSI14,DIF,DEA,VOL_MA5,VOL_MA10,RSI6,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,MA120,MA250,updown_ratio_20,up_days_ratio_20,turnover_ma20,vol_ratio,ma_bull,dif_above_zero,bias60,macd_gold,macd_gold3,dif_below0,kdj_gold,kdj_gold3,boll_pos,boll_width,rsi6,is_yang,above_ma5,break_high5,break_high10,break_close40
2024-08-14,3.87,3.9,3.83,3.83,27269.03,-1.5424164524421635,0.2354522559305649,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-15,3.82,3.88,3.8,3.85,53155.01,0.5221932114882533,0.458962677385728,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-16,3.85,3.87,3.8,3.81,49703.5,-1.0389610389610393,0.4291608906750564,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-19,3.81,3.84,3.79,3.81,33362.0,0.0,0.28806151749275666,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-20,3.8,3.9,3.77,3.78,78657.71,-0.7874015748031593,0.6791636983725551,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-21,3.75,3.81,3.71,3.79,63963.74,0.2645502645502784,0.5522897910470638,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-22,3.79,3.82,3.71,3.71,43615.6,-2.110817941952503,0.37659540562187754,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-23,3.7,3.74,3.65,3.68,41770.2,-0.8086253369272156,0.3606614470947768,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-26,3.68,3.81,3.67,3.78,57020.7,2.717391304347827,0.49234066814037625,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
2024-08-27,3.77,3.81,3.69,3.72,50453.7,-1.5873015873015817,0.4356384325017775,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,False,False,False,False,False
2024-08-28,3.7,3.77,3.69,3.74,35885.48,0.5376344086021501,0.30985030348168485,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,,,,True,False,False,False,False
